Episode: 116 || Reward: 147.16 || Actor Loss: -19.19 || Critic Loss: 0.13 || Log Prob: -27.38 || Alpha: 0.04 || Time/Update: 7.79ms || Total Steps: 19256 || Song: twinkle_twinkle_little_star
Episode: 117 || Reward: 146.79 || Actor Loss: -18.75 || Critic Loss: 0.12 || Log Prob: -27.09 || Alpha: 0.04 || Time/Update: 6.15ms || Total Steps: 19422 || Song: twinkle_twinkle_little_star
Episode: 118 || Reward: 148.72 || Actor Loss: -18.32 || Critic Loss: 0.12 || Log Prob: -26.68 || Alpha: 0.04 || Time/Update: 6.07ms || Total Steps: 19588 || Song: twinkle_twinkle_little_star
Episode: 119 || Reward: 138.56 || Actor Loss: -17.92 || Critic Loss: 0.11 || Log Prob: -26.5 || Alpha: 0.03 || Time/Update: 6.36ms || Total Steps: 19754 || Song: twinkle_twinkle_little_star
Episode: 120 || Reward: 144.7 || Actor Loss: -17.53 || Critic Loss: 0.11 || Log Prob: -26.06 || Alpha: 0.03 || Time/Update: 6.59ms || Total Steps: 19920 || Song: twinkle_twinkle_little_star
Episode: 121 || Reward: 141.23 || Actor Loss: -17.16 || Critic Loss: 0.1 || Log Prob: -25.89 || Alpha: 0.03 || Time/Update: 6.6ms || Total Steps: 20086 || Song: twinkle_twinkle_little_star
Validation Episode:
  Song: twinkle_twinkle_little_star, Reward: 241.12, F1: 0.13, Precision: 0.65, Recall: 0.07
Episode: 122 || Reward: 152.05 || Actor Loss: -16.79 || Critic Loss: 0.1 || Log Prob: -25.69 || Alpha: 0.03 || Time/Update: 6.28ms || Total Steps: 20252 || Song: twinkle_twinkle_little_star
Episode: 123 || Reward: 159.42 || Actor Loss: -16.45 || Critic Loss: 0.1 || Log Prob: -25.31 || Alpha: 0.03 || Time/Update: 6.46ms || Total Steps: 20418 || Song: twinkle_twinkle_little_star
Episode: 124 || Reward: 150.17 || Actor Loss: -16.12 || Critic Loss: 0.09 || Log Prob: -24.83 || Alpha: 0.03 || Time/Update: 6.53ms || Total Steps: 20584 || Song: twinkle_twinkle_little_star
Episode: 125 || Reward: 148.9 || Actor Loss: -15.81 || Critic Loss: 0.09 || Log Prob: -24.41 || Alpha: 0.03 || Time/Update: 6.55ms || Total Steps: 20750 || Song: twinkle_twinkle_little_star
Episode: 126 || Reward: 160.83 || Actor Loss: -15.51 || Critic Loss: 0.08 || Log Prob: -24.17 || Alpha: 0.03 || Time/Update: 6.43ms || Total Steps: 20916 || Song: twinkle_twinkle_little_star
Episode: 127 || Reward: 157.57 || Actor Loss: -15.22 || Critic Loss: 0.08 || Log Prob: -23.6 || Alpha: 0.03 || Time/Update: 6.43ms || Total Steps: 21082 || Song: twinkle_twinkle_little_star
Episode: 128 || Reward: 160.0 || Actor Loss: -14.95 || Critic Loss: 0.08 || Log Prob: -23.16 || Alpha: 0.02 || Time/Update: 6.57ms || Total Steps: 21248 || Song: twinkle_twinkle_little_star
Episode: 129 || Reward: 155.55 || Actor Loss: -14.68 || Critic Loss: 0.08 || Log Prob: -22.78 || Alpha: 0.02 || Time/Update: 6.56ms || Total Steps: 21414 || Song: twinkle_twinkle_little_star
Episode: 130 || Reward: 168.14 || Actor Loss: -14.42 || Critic Loss: 0.07 || Log Prob: -22.43 || Alpha: 0.02 || Time/Update: 6.54ms || Total Steps: 21580 || Song: twinkle_twinkle_little_star
Episode: 131 || Reward: 154.24 || Actor Loss: -14.19 || Critic Loss: 0.07 || Log Prob: -21.82 || Alpha: 0.02 || Time/Update: 6.61ms || Total Steps: 21746 || Song: twinkle_twinkle_little_star
Episode: 132 || Reward: 158.87 || Actor Loss: -13.96 || Critic Loss: 0.07 || Log Prob: -21.41 || Alpha: 0.02 || Time/Update: 6.48ms || Total Steps: 21912 || Song: twinkle_twinkle_little_star
Episode: 133 || Reward: 168.03 || Actor Loss: -13.74 || Critic Loss: 0.07 || Log Prob: -21.07 || Alpha: 0.02 || Time/Update: 6.58ms || Total Steps: 22078 || Song: twinkle_twinkle_little_star
Episode: 134 || Reward: 168.89 || Actor Loss: -13.55 || Critic Loss: 0.07 || Log Prob: -20.14 || Alpha: 0.02 || Time/Update: 6.53ms || Total Steps: 22244 || Song: twinkle_twinkle_little_star
Episode: 135 || Reward: 165.25 || Actor Loss: -13.36 || Critic Loss: 0.06 || Log Prob: -19.54 || Alpha: 0.02 || Time/Update: 6.43ms || Total Steps: 22410 || Song: twinkle_twinkle_little_star
Episode: 136 || Reward: 172.7 || Actor Loss: -13.16 || Critic Loss: 0.06 || Log Prob: -19.24 || Alpha: 0.02 || Time/Update: 6.48ms || Total Steps: 22576 || Song: twinkle_twinkle_little_star
Episode: 137 || Reward: 174.43 || Actor Loss: -13.0 || Critic Loss: 0.06 || Log Prob: -18.54 || Alpha: 0.02 || Time/Update: 6.48ms || Total Steps: 22742 || Song: twinkle_twinkle_little_star
Episode: 138 || Reward: 161.77 || Actor Loss: -12.84 || Critic Loss: 0.06 || Log Prob: -18.02 || Alpha: 0.02 || Time/Update: 6.46ms || Total Steps: 22908 || Song: twinkle_twinkle_little_star
Episode: 139 || Reward: 177.67 || Actor Loss: -12.68 || Critic Loss: 0.06 || Log Prob: -17.33 || Alpha: 0.02 || Time/Update: 6.49ms || Total Steps: 23074 || Song: twinkle_twinkle_little_star
Episode: 140 || Reward: 169.59 || Actor Loss: -12.54 || Critic Loss: 0.06 || Log Prob: -16.96 || Alpha: 0.02 || Time/Update: 6.64ms || Total Steps: 23240 || Song: twinkle_twinkle_little_star
Episode: 141 || Reward: 174.42 || Actor Loss: -12.4 || Critic Loss: 0.06 || Log Prob: -16.41 || Alpha: 0.02 || Time/Update: 6.5ms || Total Steps: 23406 || Song: twinkle_twinkle_little_star
